id,baslik,goruntu,ana_bulgu,etiket_kaynagi,esleme,modlar,hekim_onayi,soru_sayisi,soru_metinleri
auto_epmc_pmc13078844_cureus_0018_00000105272_i01,Hiatal herni · PA (arka-ön) grafi #2,epmc_pmc13078844_cureus_0018_00000105272_i01,hiatal_hernia,author_caption,educational_mapping,practice,beklemede,2,"Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Büyük bir hiatal herni semptomatik hale geldiğinde (ör. obstrüksiyon, kanama) tedavi yaklaşımı nasıldır?"
auto_epmc_pmc13477804_cureus_0018_00000112821_i01,Hiperinflasyon · AP (ön-arka) grafi #1,epmc_pmc13477804_cureus_0018_00000112821_i01,hyperinflation,author_caption,educational_mapping,practice,beklemede,1,Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir?
auto_epmc_pmc13536977_cureus_0018_00000115642_i01,Kot kırığı · AP (ön-arka) grafi #2,epmc_pmc13536977_cureus_0018_00000115642_i01,rib_fracture,author_caption,educational_mapping,practice,beklemede,1,Bu film hangi projeksiyon/pozisyonda çekilmiştir?
auto_epmc_pmc13536977_cureus_0018_00000115642_i02,Kot kırığı · AP (ön-arka) grafi #3,epmc_pmc13536977_cureus_0018_00000115642_i02,rib_fracture,author_caption,educational_mapping,practice,beklemede,1,Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir?
auto_epmc_pmc13537486_cureus_0018_00000113883_i01,Klavikula kırığı · AP (ön-arka) grafi #2,epmc_pmc13537486_cureus_0018_00000113883_i01,clavicle_fracture,author_caption,educational_mapping,practice,beklemede,1,Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir?
auto_epmc_pmc13544946_icrm_17_6822_g001,Yükselmiş hemidiyafram · Lateral grafi #1,epmc_pmc13544946_icrm_17_6822_g001,elevated_hemidiaphragm,author_caption,educational_mapping,practice,beklemede,1,Bu film hangi projeksiyon/pozisyonda çekilmiştir?
auto_kermany_im_0172_0001,Normal · AP (ön-arka) grafi #1,kermany_im_0172_0001,normal,expert_reading,educational_mapping,practice,beklemede,3,Radyolog değerlendirmesine göre bu grafideki ana bulgu hangisidir? | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | 'Normal' etiketi bu modülde hangi durumda verilir?
auto_nih_00000009_000,Amfizem · PA (arka-ön) grafi #1,nih_00000009_000,emphysema,report_nlp,educational_mapping,practice,beklemede,2,Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Amfizem için en önemli değiştirilebilir risk faktörü hangisidir?
auto_nih_00000013_042,Amfizem · PA (arka-ön) grafi #2,nih_00000013_042,emphysema,report_nlp,educational_mapping,practice,beklemede,2,Bu grafinin projeksiyonu/pozisyonu nedir? | Amfizemli bir hastanın akciğer grafisinde hangi bulgu beklenir?
auto_nih_00000193_019,Havalı alan opasitesi · AP (ön-arka) grafi #1,nih_00000193_019,airspace_opacity,expert_bbox,validated,practice|assessment,beklemede,4,Bu akciğer grafisinde görülen ana radyografik bulgu hangisidir? | Havalı alan opasitesi bulgusunu görüntü üzerinde işaretleyin. | Bu grafinin projeksiyonu/pozisyonu nedir? | Bir opasitenin içinde hava bronkogramı görülmesi neyi gösterir?
auto_nih_00000211_041,Kardiyomegali · AP (ön-arka) grafi #1,nih_00000211_041,cardiomegaly,expert_bbox,validated,practice|assessment,beklemede,4,Bu akciğer grafisinde görülen ana radyografik bulgu hangisidir? | 59 yaşındaki hastanın filminde Kardiyomegali bulgusunu işaretleyin. | 59 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Kardiyotorasik oran (KTO) nasıl hesaplanır ve normal üst sınırı nedir?
auto_nih_00000246_004,Normal · AP (ön-arka) grafi #2,nih_00000246_004,normal,expert_panel,validated,practice|assessment,beklemede,3,AP (ön-arka) grafide görülen ana bulgu hangisidir? | 51 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Normal bir grafide sık görülen ama patolojik olmayan varyasyon hangisidir?
auto_nih_00000344_003,Efüzyon · PA (arka-ön) grafi #1,nih_00000344_003,pleural_effusion,expert_bbox,validated,practice|assessment,beklemede,4,"Aşağıdakilerden hangisi bu filmin ana bulgusudur? | Efüzyon bulgusunu fark ettiğiniz bölgeyi görüntü üzerinde gösterin. | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Nedeni belirsiz, orta-büyük hacimli bir plevral efüzyonda tanısal değerlendirme için ilk basamak genellikle hangisidir?"
auto_nih_00000377_004,Kardiyomegali · PA (arka-ön) grafi #1,nih_00000377_004,cardiomegaly,expert_bbox,validated,practice,beklemede,4,Radyolog değerlendirmesine göre bu grafideki ana bulgu hangisidir? | Kardiyomegali bulgusunu görüntü üzerinde işaretleyin. | Bu grafinin projeksiyonu/pozisyonu nedir? | Grafide kardiyomegali saptanan bir hastada altta yatan nedeni netleştirmek için en uygun ilk ileri tetkik hangisidir?
auto_nih_00000468_027,Normal · AP (ön-arka) grafi #3,nih_00000468_027,normal,expert_panel,validated,practice|assessment,beklemede,3,AP (ön-arka) grafide görülen ana bulgu hangisidir? | Elinizdeki erkek hastanın grafisinin projeksiyonu/pozisyonu nedir? | Normal bir PA akciğer grafisinde aşağıdakilerden hangisi beklenen bir bulgudur?
auto_nih_00000506_013,Havalı alan opasitesi · AP (ön-arka) grafi #2,nih_00000506_013,airspace_opacity,expert_bbox,validated,practice|assessment,beklemede,4,Radyolog değerlendirmesine göre bu grafideki ana bulgu hangisidir? | Havalı alan opasitesi bulgusunun yerini işaretle aracıyla gösterin. | Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir? | Silüet (siluet) işareti nedir ve neden önemlidir?
auto_nih_00000661_000,Kardiyomegali · PA (arka-ön) grafi #2,nih_00000661_000,cardiomegaly,expert_bbox,validated,practice,beklemede,4,Bu akciğer grafisinde görülen ana radyografik bulgu hangisidir? | Kardiyomegali bulgusunun yerini işaretle aracıyla gösterin. | Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir? | Kardiyotorasik oranın güvenilir biçimde değerlendirilebilmesi için hangi koşul gereklidir?
auto_nih_00000756_000,Normal · PA (arka-ön) grafi #1,nih_00000756_000,normal,expert_panel,validated,practice|assessment,beklemede,3,50 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Bir film sistematik olarak normal değerlendirildiğinde bir sonraki adım ne olmalıdır?
auto_nih_00000808_013,Normal · AP (ön-arka) grafi #4,nih_00000808_013,normal,expert_panel,validated,practice|assessment,beklemede,3,48 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | Sistematik akciğer grafisi okumasında ABCDE yaklaşımının doğru sırası hangisidir?
auto_nih_00000830_005,Normal · PA (arka-ön) grafi #2,nih_00000830_005,normal,expert_panel,validated,practice|assessment,beklemede,3,Radyolog değerlendirmesine göre bu grafideki ana bulgu hangisidir? | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | 'Normal' etiketi bu modülde hangi durumda verilir?
auto_nih_00000882_004,Normal · PA (arka-ön) grafi #3,nih_00000882_004,normal,expert_panel,validated,practice|assessment,beklemede,3,Bu grafiyi sistematik olarak değerlendirdiğinizde ana bulgu hangisidir? | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | Normal bir grafide sık görülen ama patolojik olmayan varyasyon hangisidir?
auto_nih_00001075_031,Normal · AP (ön-arka) grafi #5,nih_00001075_031,normal,expert_panel,validated,practice|assessment,beklemede,3,AP (ön-arka) grafide görülen ana bulgu hangisidir? | 60 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Sistematik akciğer grafisi okumasında ABCDE yaklaşımının doğru sırası hangisidir?
auto_nih_00001093_010,Normal · PA (arka-ön) grafi #4,nih_00001093_010,normal,expert_panel,validated,practice|assessment,beklemede,3,PA (arka-ön) grafide görülen ana bulgu hangisidir? | 69 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Bir film sistematik olarak normal değerlendirildiğinde bir sonraki adım ne olmalıdır?
auto_nih_00001152_004,Ödem · AP (ön-arka) grafi #1,nih_00001152_004,edema,report_nlp,educational_mapping,practice,beklemede,2,Bu grafinin projeksiyonu/pozisyonu nedir? | Kardiyojenik ödem ile ARDS'ye bağlı non-kardiyojenik ödemi ayırmada en yardımcı bulgu/yöntem hangisidir?
auto_nih_00001247_001,Normal · AP (ön-arka) grafi #6,nih_00001247_001,normal,expert_panel,validated,practice|assessment,beklemede,3,Bu grafiyi sistematik olarak değerlendirdiğinizde ana bulgu hangisidir? | Elinizdeki erkek hastanın grafisinin projeksiyonu/pozisyonu nedir? | Normal bir PA akciğer grafisinde aşağıdakilerden hangisi beklenen bir bulgudur?
auto_nih_00001376_005,Normal · AP (ön-arka) grafi #7,nih_00001376_005,normal,expert_panel,validated,practice|assessment,beklemede,3,Radyolog değerlendirmesine göre bu grafideki ana bulgu hangisidir? | Bu grafinin projeksiyonu/pozisyonu nedir? | Sistematik akciğer grafisi okumasında ABCDE yaklaşımının doğru sırası hangisidir?
auto_nih_00001534_002,Normal · PA (arka-ön) grafi #5,nih_00001534_002,normal,expert_panel,validated,practice|assessment,beklemede,3,PA (arka-ön) grafide görülen ana bulgu hangisidir? | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | Normal bir grafide sık görülen ama patolojik olmayan varyasyon hangisidir?
auto_nih_00001688_000,Nodül / kitle · PA (arka-ön) grafi #1,nih_00001688_000,nodule_mass,expert_bbox,validated,practice|assessment,beklemede,4,59 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Grafide Nodül / kitle bulgusunun bulunduğu alanı işaretleyin. | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | Grafide görülen yuvarlak bir opasitenin gerçek bir akciğer nodülü mü yoksa cilt/göğüs duvarı kaynaklı bir 'yalancı lezyon' mu olduğunu ayırmada en kullanışlı yöntem hangisidir?
auto_nih_00001900_007,Normal · AP (ön-arka) grafi #8,nih_00001900_007,normal,expert_panel,validated,practice|assessment,beklemede,3,49 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Bir film sistematik olarak normal değerlendirildiğinde bir sonraki adım ne olmalıdır?
auto_nih_00002101_004,Normal · PA (arka-ön) grafi #6,nih_00002101_004,normal,expert_panel,validated,practice|assessment,beklemede,3,Aşağıdakilerden hangisi bu filmin ana bulgusudur? | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | 'Normal' etiketi bu modülde hangi durumda verilir?
auto_nih_00002106_000,Pnömotoraks · PA (arka-ön) grafi #1,nih_00002106_000,pneumothorax,expert_bbox,validated,practice|assessment,beklemede,4,"Bu akciğer grafisinde görülen ana radyografik bulgu hangisidir? | Bu filmde Pnömotoraks nerede? Görüntü üzerinde işaretleyin. | Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Hemodinamik olarak stabil olmayan, tansiyon pnömotoraksı düşünülen bir hastada yaklaşım nasıl olmalıdır?"
auto_nih_00002176_011,Normal · PA (arka-ön) grafi #7,nih_00002176_011,normal,expert_panel,validated,practice|assessment,beklemede,3,68 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Normal bir PA akciğer grafisinde aşağıdakilerden hangisi beklenen bir bulgudur?
auto_nih_00002258_000,Normal · PA (arka-ön) grafi #8,nih_00002258_000,normal,expert_panel,educational_mapping,practice,beklemede,3,Aşağıdakilerden hangisi bu filmin ana bulgusudur? | 15 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Bir film sistematik olarak normal değerlendirildiğinde bir sonraki adım ne olmalıdır?
auto_nih_00002316_001,Normal · PA (arka-ön) grafi #9,nih_00002316_001,normal,expert_panel,validated,practice|assessment,beklemede,3,71 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | 'Normal' etiketi bu modülde hangi durumda verilir?
auto_nih_00002424_002,Normal · PA (arka-ön) grafi #10,nih_00002424_002,normal,expert_panel,validated,practice|assessment,beklemede,3,31 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Sistematik akciğer grafisi okumasında ABCDE yaklaşımının doğru sırası hangisidir?
auto_nih_00002704_014,Normal · AP (ön-arka) grafi #9,nih_00002704_014,normal,expert_panel,validated,practice|assessment,beklemede,3,Radyolog değerlendirmesine göre bu grafideki ana bulgu hangisidir? | Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir? | Normal bir PA akciğer grafisinde aşağıdakilerden hangisi beklenen bir bulgudur?
auto_nih_00003400_003,Pnömotoraks · PA (arka-ön) grafi #2,nih_00003400_003,pneumothorax,expert_bbox,validated,practice,beklemede,4,25 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Grafide Pnömotoraks bulgusunun bulunduğu alanı işaretleyin. | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | Basit (tansiyon yapmamış) pnömotoraksın temel radyografik bulgusu hangisidir?
auto_nih_00004547_003,Nodül / kitle · PA (arka-ön) grafi #2,nih_00004547_003,nodule_mass,expert_bbox,validated,practice|assessment,beklemede,4,Bu akciğer grafisinde görülen ana radyografik bulgu hangisidir? | Bu filmde Nodül / kitle nerede? Görüntü üzerinde işaretleyin. | Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Bir akciğer nodülünün 'malignite açısından düşük riskli' olduğunu düşündüren özellik hangisidir?
auto_nih_00004630_001,Kardiyomegali · AP (ön-arka) grafi #2,nih_00004630_001,cardiomegaly,expert_bbox,validated,practice|assessment,beklemede,4,69 yaşındaki hastanın grafisinde ana bulgu hangisidir? | Kardiyomegali bulgusunu fark ettiğiniz bölgeyi görüntü üzerinde gösterin. | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Yatarak çekilmiş bir AP grafide kalp gölgesi geniş görünen bir hastada ilk akla gelmesi gereken olasılık hangisidir?
auto_nih_00005066_030,Havalı alan opasitesi · AP (ön-arka) grafi #3,nih_00005066_030,airspace_opacity,expert_bbox,validated,practice|assessment,beklemede,4,Bu akciğer grafisinde görülen ana radyografik bulgu hangisidir? | 51 yaşındaki hastanın filminde Havalı alan opasitesi bulgusunu işaretleyin. | 51 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Ateş ve öksürükle başvuran hastada yeni gelişen havalı alan opasitesinde ilk klinik değerlendirme hangisini içermelidir?
auto_nih_00005532_022,Havalı alan opasitesi · PA (arka-ön) grafi #1,nih_00005532_022,airspace_opacity,expert_bbox,validated,practice|assessment,beklemede,4,Aşağıdakilerden hangisi bu filmin ana bulgusudur? | 40 yaşındaki hastanın filminde Havalı alan opasitesi bulgusunu işaretleyin. | 40 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Havalı alan (airspace) opasitesinin sınırları tipik olarak nasıldır?
auto_nih_00005869_001,Pnömotoraks · PA (arka-ön) grafi #3,nih_00005869_001,pneumothorax,expert_bbox,validated,practice|assessment,beklemede,4,PA (arka-ön) grafide görülen ana bulgu hangisidir? | Pnömotoraks bulgusunu fark ettiğiniz bölgeyi görüntü üzerinde gösterin. | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Pnömotorakslı bir grafide aşağıdakilerden hangisi tansiyon pnömotoraksı düşündüren radyografik bulgudur?
auto_nih_00006621_004,Atelektazi · AP (ön-arka) grafi #1,nih_00006621_004,atelectasis,expert_bbox,validated,practice|assessment,beklemede,4,Elinizdeki kadın hastanın akciğer grafisinde ana bulgu hangisidir? | 49 yaşındaki hastanın filminde Atelektazi bulgusunu işaretleyin. | 49 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Atelektazinin en sık nedeni hangisidir?
auto_nih_00006736_000,Nodül / kitle · PA (arka-ön) grafi #3,nih_00006736_000,nodule_mass,expert_bbox,validated,practice|assessment,beklemede,4,"Bu filmde saptanan ana radyografik bulgu hangi seçenekte doğru verilmiştir? | Grafide Nodül / kitle bulgusunun bulunduğu alanı işaretleyin. | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | Grafide yeni saptanan, önceki filmi olmayan bir akciğer nodülünde bir sonraki uygun adım genellikle hangisidir?"
auto_nih_00006836_002,Havalı alan opasitesi · AP (ön-arka) grafi #4,nih_00006836_002,airspace_opacity,expert_bbox,validated,practice|assessment,beklemede,4,74 yaşındaki hastanın grafisinde ana bulgu hangisidir? | 74 yaşındaki hastanın filminde Havalı alan opasitesi bulgusunu işaretleyin. | 74 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Havalı alan opasitesi ile atelektazi arasındaki temel ayırıcı bulgu nedir?
auto_nih_00007037_000,Kardiyomegali · PA (arka-ön) grafi #3,nih_00007037_000,cardiomegaly,expert_bbox,validated,practice|assessment,beklemede,4,Bu grafiyi sistematik olarak değerlendirdiğinizde ana bulgu hangisidir? | Kardiyomegali bulgusunun yerini işaretle aracıyla gösterin. | Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir? | Grafide kardiyomegali saptanan bir hastada altta yatan nedeni netleştirmek için en uygun ilk ileri tetkik hangisidir?
auto_nih_00007551_020,Kardiyomegali · AP (ön-arka) grafi #3,nih_00007551_020,cardiomegaly,expert_bbox,validated,practice,beklemede,4,Bu akciğer grafisinde görülen ana radyografik bulgu hangisidir? | Kardiyomegali bulgusunun yerini işaretle aracıyla gösterin. | Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir? | Kardiyotorasik oranın güvenilir biçimde değerlendirilebilmesi için hangi koşul gereklidir?
auto_nih_00007557_026,Atelektazi · PA (arka-ön) grafi #1,nih_00007557_026,atelectasis,expert_bbox,validated,practice|assessment,beklemede,4,Bu grafiyi sistematik olarak değerlendirdiğinizde ana bulgu hangisidir? | Atelektazi bulgusunu fark ettiğiniz bölgeyi görüntü üzerinde gösterin. | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Ameliyat sonrası dönemde gelişen bazal atelektaziyi önlemede en etkili basit önlem hangisidir?
auto_nih_00008386_000,Nodül / kitle · PA (arka-ön) grafi #4,nih_00008386_000,nodule_mass,expert_bbox,validated,practice|assessment,beklemede,4,Elinizdeki erkek hastanın akciğer grafisinde ana bulgu hangisidir? | Bu filmde Nodül / kitle nerede? Görüntü üzerinde işaretleyin. | Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Akciğer grafisinde nodül ile kitle ayrımında kullanılan boyut sınırı hangisidir?
auto_nih_00008814_010,Havalı alan opasitesi · PA (arka-ön) grafi #2,nih_00008814_010,airspace_opacity,expert_bbox,validated,practice|assessment,beklemede,4,Bu filmde saptanan ana radyografik bulgu hangi seçenekte doğru verilmiştir? | Havalı alan opasitesi bulgusunun yerini işaretle aracıyla gösterin. | Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir? | Silüet (siluet) işareti nedir ve neden önemlidir?
auto_nih_00009368_006,Pnömotoraks · AP (ön-arka) grafi #1,nih_00009368_006,pneumothorax,expert_bbox,validated,practice|assessment,beklemede,4,"Bu filmde saptanan ana radyografik bulgu hangi seçenekte doğru verilmiştir? | 82 yaşındaki hastanın filminde Pnömotoraks bulgusunu işaretleyin. | 82 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Genç, uzun boylu, zayıf yapılı bir erkekte hiçbir travma öyküsü olmadan gelişen pnömotoraks tipik olarak hangi kategoriye girer?"
auto_nih_00009669_003,Atelektazi · PA (arka-ön) grafi #2,nih_00009669_003,atelectasis,expert_bbox,validated,practice|assessment,beklemede,4,Bu filmde saptanan ana radyografik bulgu hangi seçenekte doğru verilmiştir? | Grafide Atelektazi bulgusunun bulunduğu alanı işaretleyin. | Bu film hangi projeksiyon/pozisyonda çekilmiştir? | Atelektaziyi konsolidasyondan ayırmada en yardımcı radyografik bulgu hangisidir?
auto_nih_00010007_168,Efüzyon · AP (ön-arka) grafi #1,nih_00010007_168,pleural_effusion,expert_bbox,validated,practice|assessment,beklemede,4,Bu akciğer grafisinde görülen ana radyografik bulgu hangisidir? | Efüzyon bulgusunun yerini işaretle aracıyla gösterin. | Aşağıdakilerden hangisi bu grafinin projeksiyon/pozisyon bilgisidir? | Dik PA akciğer grafisinde plevral sıvının ilk göze çarpan bulgusu genellikle hangisidir?
auto_nih_00010071_008,Pnömotoraks · PA (arka-ön) grafi #4,nih_00010071_008,pneumothorax,expert_bbox,validated,practice,beklemede,4,"Radyolog değerlendirmesine göre bu grafideki ana bulgu hangisidir? | Pnömotoraks bulgusunu fark ettiğiniz bölgeyi görüntü üzerinde gösterin. | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Hemodinamik olarak stabil olmayan, tansiyon pnömotoraksı düşünülen bir hastada yaklaşım nasıl olmalıdır?"
auto_nih_00010120_010,Havalı alan opasitesi · AP (ön-arka) grafi #5,nih_00010120_010,airspace_opacity,expert_bbox,validated,practice|assessment,beklemede,4,Aşağıdakilerden hangisi bu filmin ana bulgusudur? | Bu filmde Havalı alan opasitesi nerede? Görüntü üzerinde işaretleyin. | Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Havalı alan opasitesi ile atelektazi arasındaki temel ayırıcı bulgu nedir?
auto_nih_00010125_004,Nodül / kitle · PA (arka-ön) grafi #5,nih_00010125_004,nodule_mass,expert_bbox,validated,practice|assessment,beklemede,4,Elinizdeki kadın hastanın akciğer grafisinde ana bulgu hangisidir? | Nodül / kitle bulgusunu görüntü üzerinde işaretleyin. | Bu grafinin projeksiyonu/pozisyonu nedir? | Bir akciğer nodülünün 'malignite açısından düşük riskli' olduğunu düşündüren özellik hangisidir?
auto_nih_00010172_001,Efüzyon · AP (ön-arka) grafi #2,nih_00010172_001,pleural_effusion,expert_bbox,validated,practice|assessment,beklemede,4,AP (ön-arka) grafide görülen ana bulgu hangisidir? | 59 yaşındaki hastanın filminde Efüzyon bulgusunu işaretleyin. | 59 yaşındaki hastanın filmi hangi projeksiyon/pozisyonda çekilmiştir? | Ne kadar plevral sıvı biriktiğinde dik PA grafide kostofrenik açı küntleşmesi genellikle görünür hale gelir?
auto_nih_00010767_007,Pnömotoraks · AP (ön-arka) grafi #2,nih_00010767_007,pneumothorax,expert_bbox,validated,practice|assessment,beklemede,4,"Aşağıdakilerden hangisi bu filmin ana bulgusudur? | Bu filmde Pnömotoraks nerede? Görüntü üzerinde işaretleyin. | Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Genç, uzun boylu, zayıf yapılı bir erkekte hiçbir travma öyküsü olmadan gelişen pnömotoraks tipik olarak hangi kategoriye girer?"
auto_nih_00010770_000,Atelektazi · PA (arka-ön) grafi #3,nih_00010770_000,atelectasis,expert_bbox,validated,practice|assessment,beklemede,4,PA (arka-ön) grafide görülen ana bulgu hangisidir? | Bu filmde Atelektazi nerede? Görüntü üzerinde işaretleyin. | Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Atelektazik bir lobda mediasten ve hiler yapılar hangi yöne kayar?
auto_nih_00010815_006,Nodül / kitle · PA (arka-ön) grafi #6,nih_00010815_006,nodule_mass,expert_bbox,validated,practice|assessment,beklemede,4,"PA (arka-ön) grafide görülen ana bulgu hangisidir? | Nodül / kitle bulgusunu fark ettiğiniz bölgeyi görüntü üzerinde gösterin. | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Grafide yeni saptanan, önceki filmi olmayan bir akciğer nodülünde bir sonraki uygun adım genellikle hangisidir?"
auto_nih_00010828_039,Havalı alan opasitesi · AP (ön-arka) grafi #6,nih_00010828_039,airspace_opacity,expert_bbox,validated,practice|assessment,beklemede,4,AP (ön-arka) grafide görülen ana bulgu hangisidir? | Havalı alan opasitesi bulgusunu fark ettiğiniz bölgeyi görüntü üzerinde gösterin. | Bu grafinin çekim tekniği (projeksiyon/pozisyon) hangisidir? | Bir opasitenin içinde hava bronkogramı görülmesi neyi gösterir?
auto_nih_00011151_004,Nodül / kitle · AP (ön-arka) grafi #1,nih_00011151_004,nodule_mass,expert_bbox,validated,practice,beklemede,4,Aşağıdakilerden hangisi bu filmin ana bulgusudur? | Bu filmde Nodül / kitle nerede? Görüntü üzerinde işaretleyin. | Bu filmin çekim projeksiyonu/pozisyonu hangisidir? | Grafide görülen yuvarlak bir opasitenin gerçek bir akciğer nodülü mü yoksa cilt/göğüs duvarı kaynaklı bir 'yalancı lezyon' mu olduğunu ayırmada en kullanışlı yöntem hangisidir?
